Orig Name,Name,State,Median Household Income,90% CI Lower Bound,90% CI Upper Bound
United States,United States1,US,53.657,53.564,53.75
Autauga County,Autauga1,AL,54.366,50.916,57.816
Baldwin County,Baldwin1,AL,49.626,46.516,52.736
Barbour County,Barbour1,AL,34.971,32.475,37.467
Bibb County,Bibb1,AL,39.546,36.344,42.748
Blount County,Blount1,AL,45.567,41.885,49.249
Bullock County,Bullock1,AL,26.58,23.72,29.44
Butler County,Butler1,AL,32.512,29.47,35.554
Calhoun County,Calhoun1,AL,41.123,39.13,43.116
Chambers County,Chambers1,AL,34.116,31.147,37.085
Cherokee County,Cherokee1,AL,38.013,34.618,41.408
Chilton County,Chilton1,AL,41.45,37.827,45.073
Choctaw County,Choctaw1,AL,35.049,31.556,38.542
Clarke County,Clarke1,AL,36.62,33.045,40.195
Clay County,Clay1,AL,35.94,32.461,39.419
Cleburne County,Cleburne1,AL,40.418,36.212,44.624
Coffee County,Coffee1,AL,46.931,44.521,49.341
Colbert County,Colbert1,AL,43.057,40.574,45.54
Conecuh County,Conecuh1,AL,29.101,26.03,32.172
Coosa County,Coosa1,AL,34.679,31.183,38.175
Covington County,Covington1,AL,36.149,33.485,38.813
Crenshaw County,Crenshaw1,AL,34.445,30.934,37.956
Cullman County,Cullman1,AL,39.922,36.753,43.091
Dale County,Dale1,AL,41.94,39.123,44.757
Dallas County,Dallas1,AL,26.602,24.316,28.888
DeKalb County,DeKalb1,AL,36.241,32.733,39.749
Elmore County,Elmore1,AL,54.298,50.247,58.349
Escambia County,Escambia1,AL,37.077,33.71,40.444
Etowah County,Etowah1,AL,39.904,37.653,42.155
Fayette County,Fayette1,AL,35.664,32.388,38.94
Franklin County,Franklin1,AL,33.881,30.722,37.04
Geneva County,Geneva1,AL,34.425,31.04,37.81
Greene County,Greene1,AL,26.504,23.686,29.322
Hale County,Hale1,AL,33.315,29.845,36.785
Henry County,Henry1,AL,39.93,35.929,43.931
Houston County,Houston1,AL,40.124,38.031,42.217
Jackson County,Jackson1,AL,36.923,33.586,40.26
Jefferson County,Jefferson1,AL,44.852,43.11,46.594
Lamar County,Lamar1,AL,34.553,31.1,38.006
Lauderdale County,Lauderdale1,AL,41.324,38.496,44.152
Lawrence County,Lawrence1,AL,41.574,37.719,45.429
Lee County,Lee1,AL,41.256,38.469,44.043
Limestone County,Limestone1,AL,51.175,47.435,54.915
Lowndes County,Lowndes1,AL,30.675,27.628,33.722
Macon County,Macon1,AL,28.518,25.739,31.297
Madison County,Madison1,AL,58.833,55.598,62.068
Marengo County,Marengo1,AL,32.977,29.576,36.378
Marion County,Marion1,AL,37.707,35.395,40.019
Marshall County,Marshall1,AL,36.536,33.475,39.597
Mobile County,Mobile1,AL,42.943,40.927,44.959
Monroe County,Monroe1,AL,34.733,31.137,38.329
Montgomery County,Montgomery1,AL,43.054,40.452,45.656
