Name,State,Median Household Income,90% CI Lower Bound,90% CI Upper Bound
United States,US,53.657,53.564,53.75
Autauga County,AL,54.366,50.916,57.816
Baldwin County,AL,49.626,46.516,52.736
Barbour County,AL,34.971,32.475,37.467
Bibb County,AL,39.546,36.344,42.748
Blount County,AL,45.567,41.885,49.249
Bullock County,AL,26.58,23.72,29.44
Butler County,AL,32.512,29.47,35.554
Calhoun County,AL,41.123,39.13,43.116
Chambers County,AL,34.116,31.147,37.085
Cherokee County,AL,38.013,34.618,41.408
Chilton County,AL,41.45,37.827,45.073
Choctaw County,AL,35.049,31.556,38.542
Clarke County,AL,36.62,33.045,40.195
Clay County,AL,35.94,32.461,39.419
Cleburne County,AL,40.418,36.212,44.624
Coffee County,AL,46.931,44.521,49.341
Colbert County,AL,43.057,40.574,45.54
Conecuh County,AL,29.101,26.03,32.172
Coosa County,AL,34.679,31.183,38.175
Covington County,AL,36.149,33.485,38.813
Crenshaw County,AL,34.445,30.934,37.956
Cullman County,AL,39.922,36.753,43.091
Dale County,AL,41.94,39.123,44.757
Dallas County,AL,26.602,24.316,28.888
DeKalb County,AL,36.241,32.733,39.749
Elmore County,AL,54.298,50.247,58.349
Escambia County,AL,37.077,33.71,40.444
Etowah County,AL,39.904,37.653,42.155
Fayette County,AL,35.664,32.388,38.94
Franklin County,AL,33.881,30.722,37.04
Geneva County,AL,34.425,31.04,37.81
Greene County,AL,26.504,23.686,29.322
Hale County,AL,33.315,29.845,36.785
Henry County,AL,39.93,35.929,43.931
Houston County,AL,40.124,38.031,42.217
Jackson County,AL,36.923,33.586,40.26
Jefferson County,AL,44.852,43.11,46.594
Lamar County,AL,34.553,31.1,38.006
Lauderdale County,AL,41.324,38.496,44.152
Lawrence County,AL,41.574,37.719,45.429
Lee County,AL,41.256,38.469,44.043
Limestone County,AL,51.175,47.435,54.915
Lowndes County,AL,30.675,27.628,33.722
Macon County,AL,28.518,25.739,31.297
Madison County,AL,58.833,55.598,62.068
Marengo County,AL,32.977,29.576,36.378
Marion County,AL,37.707,35.395,40.019
Marshall County,AL,36.536,33.475,39.597
Mobile County,AL,42.943,40.927,44.959
Monroe County,AL,34.733,31.137,38.329
Montgomery County,AL,43.054,40.452,45.656
Morgan County,AL,45.082,42.365,47.799
Perry County,AL,27.403,25.233,29.573
Pickens County,AL,31.933,28.724,35.142
Pike County,AL,31.844,29.665,34.023
Randolph County,AL,36.939,33.876,40.002
Russell County,AL,35.585,32.791,38.379
St. Clair County,AL,50.571,47.017,54.125
Shelby County,AL,69.432,65.163,73.701
Sumter County,AL,25.413,22.75,28.076
Talladega County,AL,39.999,36.971,43.027
