Name;Median Household Income;90% CI Lower Bound;90% CI Upper Bound
United States;53.657;53.564;53.750
Autauga County;54.366;50.916;57.816
Baldwin County;49.626;46.516;52.736
Barbour County;34.971;32.475;37.467
Bibb County;39.546;36.344;42.748
Blount County;45.567;41.885;49.249
Bullock County;26.580;23.720;29.440
Butler County;32.512;29.470;35.554
Calhoun County;41.123;39.130;43.116
Chambers County;34.116;31.147;37.085
Cherokee County;38.013;34.618;41.408
Chilton County;41.450;37.827;45.073
Choctaw County;35.049;31.556;38.542
Clarke County;36.620;33.045;40.195
Clay County;35.940;32.461;39.419
Cleburne County;40.418;36.212;44.624
Coffee County;46.931;44.521;49.341
Colbert County;43.057;40.574;45.540
Conecuh County;29.101;26.030;32.172
Coosa County;34.679;31.183;38.175
Covington County;36.149;33.485;38.813
Crenshaw County;34.445;30.934;37.956
Cullman County;39.922;36.753;43.091
Dale County;41.940;39.123;44.757
Dallas County;26.602;24.316;28.888
DeKalb County;36.241;32.733;39.749
Elmore County;54.298;50.247;58.349
Escambia County;37.077;33.710;40.444
Etowah County;39.904;37.653;42.155
Fayette County;35.664;32.388;38.940
Franklin County;33.881;30.722;37.040
Geneva County;34.425;31.040;37.810
Greene County;26.504;23.686;29.322
Hale County;33.315;29.845;36.785
Henry County;39.930;35.929;43.931
Houston County;40.124;38.031;42.217
Jackson County;36.923;33.586;40.260
Jefferson County;44.852;43.110;46.594
Lamar County;34.553;31.100;38.006
Lauderdale County;41.324;38.496;44.152
Lawrence County;41.574;37.719;45.429
Lee County;41.256;38.469;44.043
Limestone County;51.175;47.435;54.915
Lowndes County;30.675;27.628;33.722
Macon County;28.518;25.739;31.297
Madison County;58.833;55.598;62.068
Marengo County;32.977;29.576;36.378
Marion County;37.707;35.395;40.019
Marshall County;36.536;33.475;39.597
Mobile County;42.943;40.927;44.959
Monroe County;34.733;31.137;38.329
Montgomery County;43.054;40.452;45.656
Morgan County;45.082;42.365;47.799
Perry County;27.403;25.233;29.573
Pickens County;31.933;28.724;35.142
Pike County;31.844;29.665;34.023
Randolph County;36.939;33.876;40.002
Russell County;35.585;32.791;38.379
St. Clair County;50.571;47.017;54.125
Shelby County;69.432;65.163;73.701
Sumter County;25.413;22.750;28.076
Talladega County;39.999;36.971;43.027
Tallapoosa County;36.779;33.601;39.957
Tuscaloosa County;46.892;44.682;49.102
Walker County;37.245;33.956;40.534
Washington County;41.321;37.775;44.867
Wilcox County;24.035;21.489;26.581
Winston County;35.528;33.163;37.893
Alaska;70.898;69.423;72.373
Aleutians East Borough;55.462;50.254;60.670
Aleutians West Census Area;68.387;62.678;74.096
Anchorage Borough;75.200;71.927;78.473
Bethel Census Area;45.808;42.213;49.403
Bristol Bay Borough;75.364;69.854;80.874
Denali Borough;69.692;63.214;76.170
Dillingham Census Area;51.082;46.258;55.906
Fairbanks North Star Borough;67.801;63.029;72.573
Haines Borough;67.260;64.077;70.443
Hoonah-Angoon Census Area;51.687;47.668;55.706
Juneau Borough;80.835;73.131;88.539
Kenai Peninsula Borough;62.532;59.243;65.821
Ketchikan Gateway Borough;57.776;53.296;62.256
Kodiak Island Borough;67.972;62.679;73.265
Lake and Peninsula Borough;45.570;41.227;49.913
Matanuska-Susitna Borough;73.981;71.037;76.925
Nome Census Area;47.160;42.824;51.496
North Slope Borough;75.682;68.463;82.901
Northwest Arctic Borough;65.192;61.584;68.800
Petersburg Borough;56.655;51.530;61.780
Prince of Wales-Hyder Census Area;43.245;39.051;47.439
Sitka Borough;65.765;59.141;72.389
Skagway Municipality;69.170;62.479;75.861
Southeast Fairbanks Census Area;59.641;54.022;65.260
Valdez-Cordova Census Area;73.998;69.373;78.623
Wade Hampton Census Area;30.877;28.268;33.486
Wrangell City and Borough;52.201;47.189;57.213
Yakutat Borough;52.595;47.011;58.179
Yukon-Koyukuk Census Area;36.708;33.816;39.600
Arizona;50.036;49.561;50.511
Apache County;32.366;29.844;34.888
Cochise County;45.025;42.732;47.318
Coconino County;48.653;45.031;52.275
Gila County;37.677;34.594;40.760
Graham County;46.046;42.521;49.571
Greenlee County;59.416;53.192;65.640
La Paz County;32.533;29.252;35.814
Maricopa County;53.929;52.982;54.876
Mohave County;37.704;35.694;39.714
Navajo County;35.457;32.573;38.341
Pima County;45.871;44.632;47.110
Pinal County;49.876;47.609;52.143
Santa Cruz County;37.465;34.200;40.730
Yavapai County;44.145;42.345;45.945
Yuma County;39.700;37.689;41.711
